customer_id,first_name,last_name,gender,age,DOB,address,postcode,country,state,job_title,job_industry_category,past_3_years_bike_related_purchases,property_valuation,wealth_segment,tenure,deceased_indicator,owns_car,frequency,monetary,recency,% approved,clusters
1,Laraine,Medendorp,1,64,1953-10-12,060 Morning Avenue,2016,Australia,NSW,Executive Secretary,Health,93,10,Mass Customer,11,0,1,11,3018.090000000001,8.0,100.0,3
2,Eli,Bockman,0,37,1980-12-16,6 Meadow Vale Court,2153,Australia,NSW,Administrative Officer,Financial Services,81,10,Mass Customer,16,0,1,3,2226.26,129.0,100.0,1
4,Talbot,,0,56,1961-10-03,0 Holy Cross Court,4211,Australia,QLD,,IT,33,9,Mass Customer,7,0,0,2,220.57000000000005,196.0,100.0,1
5,Sheila-kathryn,Calton,1,40,1977-05-13,17979 Del Mar Point,2448,Australia,NSW,Senior Editor,,56,4,Affluent Customer,8,0,1,6,2394.94,17.0,100.0,3
6,Curr,Duckhouse,0,51,1966-09-16,9 Oakridge Court,3216,Australia,VIC,,Retail,35,9,High Net Worth,13,0,1,5,3946.55,65.0,100.0,3
7,Fina,Merali,1,41,1976-02-23,4 Delaware Trail,2210,Australia,NSW,,Financial Services,6,9,Affluent Customer,11,0,1,3,220.11,254.0,100.0,1
8,Rod,Inder,0,55,1962-03-30,49 Londonderry Lane,2650,Australia,NSW,Media Manager I,,31,4,Mass Customer,7,0,0,9,5364.389999999999,23.0,100.0,3
9,Mala,Lind,1,44,1973-03-10,97736 7th Trail,2023,Australia,NSW,Business Systems Development Analyst,Argiculture,97,12,Affluent Customer,8,0,1,6,2353.109999999999,79.0,100.0,3
11,Uriah,Bisatt,0,63,1954-04-30,93405 Ludington Park,3044,Australia,VIC,,Property,99,8,Mass Customer,9,0,0,5,3091.5600000000004,47.0,100.0,3
12,Sawyere,Flattman,0,23,1994-07-21,44339 Golden Leaf Alley,4557,Australia,QLD,Nuclear Power Engineer,Manufacturing,58,4,Mass Customer,8,0,0,7,3540.03,68.0,100.0,3
13,Gabriele,Norcross,0,62,1955-02-15,2 Sutherland Street,3799,Australia,VIC,Developer I,Financial Services,38,6,High Net Worth,8,0,1,7,4337.38,28.0,100.0,3
14,Rayshell,Kitteman,1,34,1983-03-25,9 Mcbride Trail,2760,Australia,NSW,Account Executive,Financial Services,85,8,Affluent Customer,6,0,0,3,1713.9000000000003,48.0,100.0,1
15,Erroll,Radage,0,17,2000-07-13,9861 New Castle Avenue,2428,Australia,NSW,Junior Executive,Manufacturing,91,9,Mass Customer,1,0,0,6,1728.3900000000003,36.0,100.0,3
16,Harlin,Parr,0,40,1977-02-27,52 Moland Street,3331,Australia,VIC,Media Manager IV,,38,4,Mass Customer,18,0,1,5,4521.84,100.0,100.0,3
17,Heath,Faraday,0,55,1962-03-19,82391 Kensington Lane,3058,Australia,VIC,Sales Associate,,57,9,Affluent Customer,15,0,1,5,2015.6100000000008,1.0,100.0,3
18,Marjie,Neasham,1,50,1967-07-06,092 2nd Alley,2135,Australia,NSW,Professor,,79,12,Affluent Customer,11,0,0,7,3543.380000000001,135.0,100.0,1
19,Sorcha,Keyson,1,16,2001-04-15,59 Spaight Circle,2233,Australia,NSW,Geological Engineer,Manufacturing,76,9,High Net Worth,1,0,0,2,1736.45,281.0,100.0,1
20,Basile,Firth,0,37,1980-08-13,032 Bartelt Crossing,2444,Australia,NSW,Project Manager,Manufacturing,72,8,Mass Customer,11,0,0,4,3608.28,32.0,100.0,3
21,Mile,Cammocke,0,37,1980-09-20,18 Jenna Center,2650,Australia,NSW,Safety Technician I,Manufacturing,74,7,Affluent Customer,16,0,1,5,4229.41,7.0,100.0,3
24,Kim,Skpsey,1,40,1977-12-03,3 Cordelia Plaza,2153,Australia,NSW,Research Assistant I,Argiculture,55,10,Mass Customer,15,0,1,7,3689.35,18.0,100.0,3
25,Geoff,Assaf,0,41,1976-12-02,28 5th Center,4413,Australia,QLD,Accounting Assistant III,Financial Services,72,3,Mass Customer,21,0,1,12,5333.66,6.0,100.0,3
26,Trixi,Ginnelly,1,39,1978-06-10,52 Carey Alley,4740,Australia,QLD,Editor,Financial Services,12,5,Mass Customer,16,0,1,2,268.2399999999998,260.0,100.0,1
27,Garvin,Klees,0,39,1978-09-25,96 Texas Plaza,3218,Australia,VIC,Research Nurse,Health,37,7,Mass Customer,12,0,1,7,3274.250000000001,144.0,100.0,1
28,Fee,Zellmer,0,44,1973-09-30,48 Eagan Avenue,4868,Australia,QLD,Senior Quality Engineer,Health,5,4,Affluent Customer,21,0,1,6,3366.5600000000004,84.0,100.0,3
29,Mona,Sancraft,1,49,1968-06-22,9 Buell Park,4116,Australia,QLD,Safety Technician III,Manufacturing,62,7,Mass Customer,19,0,0,9,6175.299999999999,23.0,100.0,3
30,Darrick,Helleckas,0,56,1961-10-18,02663 Buell Parkway,2519,Australia,NSW,,IT,18,11,Affluent Customer,6,0,1,3,2633.95,12.0,100.0,3
31,Star,Praton,1,55,1962-11-24,2294 Pleasure Place,2135,Australia,NSW,Staff Accountant III,Telecommunications,3,12,High Net Worth,14,0,1,4,426.1099999999997,90.0,100.0,1
32,Marion,Vanichkin,1,22,1995-04-20,2951 Petterle Place,2756,Australia,NSW,Legal Assistant,Manufacturing,17,9,Affluent Customer,4,0,0,7,2823.120000000001,139.0,100.0,1
33,Ernst,Hacon,0,60,1957-06-25,63 Lukken Drive,2170,Australia,NSW,Product Engineer,,44,9,Affluent Customer,11,0,1,7,5150.449999999999,39.0,85.71428571428571,3
35,Margaretha,Strettle,1,54,1963-09-28,34 Russell Plaza,4127,Australia,QLD,Information Systems Manager,Health,40,6,High Net Worth,16,0,1,4,3706.51,93.0,100.0,1
36,Lurette,Stonnell,1,40,1977-11-09,78 Del Sol Hill,2535,Australia,NSW,VP Quality Control,,33,8,Affluent Customer,22,0,0,2,204.3599999999999,164.0,100.0,1
37,Laurie,Dwerryhouse,1,32,1985-12-22,54 Sage Plaza,4726,Australia,QLD,Social Worker,Health,46,1,High Net Worth,16,0,0,9,6338.489999999999,8.0,100.0,3
38,Cordi,Merman,1,62,1955-10-29,90 Lawn Parkway,4805,Australia,QLD,Senior Cost Accountant,Financial Services,37,4,Affluent Customer,20,0,0,4,2025.34,51.0,100.0,3
39,Hunfredo,Smalley,0,38,1979-04-16,38726 Ilene Crossing,2212,Australia,NSW,Assistant Media Planner,Entertainment,5,10,Mass Customer,22,0,0,12,6085.17,35.0,100.0,3
40,Tomasine,Jerche,1,36,1981-10-27,3496 Brown Drive,2207,Australia,NSW,Payment Adjustment Coordinator,Manufacturing,91,8,Affluent Customer,14,0,0,5,3272.7000000000003,15.0,100.0,3
41,Basilius,Coupe,0,41,1976-04-14,7188 Cody Way,3350,Australia,VIC,Food Chemist,Health,64,9,Mass Customer,16,0,0,9,4531.68,30.0,88.88888888888889,3
42,Chiquita,Durnall,1,40,1977-03-28,1 Claremont Park,3931,Australia,VIC,Accountant III,Manufacturing,24,10,Mass Customer,18,0,0,4,427.04,112.0,100.0,1
43,Indira,Belt,1,34,1983-03-01,60 Eagan Circle,4018,Australia,QLD,Director of Sales,Retail,38,8,Mass Customer,5,0,0,9,3619.95,62.0,100.0,3
44,Neron,Verick,0,36,1981-10-18,89314 Eagle Crest Center,4670,Australia,QLD,Assistant Media Planner,Entertainment,63,2,Affluent Customer,17,0,1,7,4768.28,36.0,100.0,3
45,Trace,Woodhead,0,42,1975-09-23,2028 Lakewood Place,2480,Australia,NSW,Senior Financial Analyst,Financial Services,64,3,Mass Customer,8,0,0,3,1048.15,44.0,100.0,1
46,Kaila,Allin,1,45,1972-02-26,70875 Hudson Point,3212,Australia,VIC,,,98,6,Affluent Customer,15,0,1,5,1623.6299999999992,54.0,100.0,3
