first_name,last_name,gender,age,DOB,address,postcode,country,state,job_title,job_industry_category,past_3_years_bike_related_purchases,property_valuation,wealth_segment,tenure,deceased_indicator,owns_car
Chickie,Brister,0,60,1957-07-12,45 Shopko Center,4500,Australia,QLD,General Manager,Manufacturing,86,6,Mass Customer,14,0,1
Morly,Genery,0,47,1970-03-22,14 Mccormick Park,2113,Australia,NSW,Structural Engineer,Property,69,11,Mass Customer,16,0,0
Ardelis,Forrester,1,43,1974-08-28,5 Colorado Crossing,3505,Australia,VIC,Senior Cost Accountant,Financial Services,10,5,Affluent Customer,10,0,0
Lucine,Stutt,1,38,1979-01-28,207 Annamark Plaza,4814,Australia,QLD,Account Representative III,Manufacturing,64,1,Affluent Customer,5,0,1
Melinda,Hadlee,1,52,1965-09-21,115 Montana Place,2093,Australia,NSW,Financial Analyst,Financial Services,34,9,Affluent Customer,19,0,0
Druci,Brandli,1,66,1951-04-29,89105 Pearson Terrace,4075,Australia,QLD,Assistant Media Planner,Entertainment,39,7,High Net Worth,22,0,1
Rutledge,Hallt,0,41,1976-10-06,7 Nevada Crossing,2620,Australia,NSW,Compensation Analyst,Financial Services,23,7,Mass Customer,8,0,0
Nancie,Vian,1,45,1972-12-27,85 Carioca Point,4814,Australia,QLD,Human Resources Assistant II,Retail,74,5,Mass Customer,10,0,1
Duff,Karlowicz,0,45,1972-04-28,717 West Drive,2200,Australia,NSW,Speech Pathologist,Manufacturing,50,10,Mass Customer,5,0,1
Barthel,Docket,0,32,1985-08-02,80 Scofield Junction,4151,Australia,QLD,Accounting Assistant IV,IT,72,5,Mass Customer,17,0,1
Rockwell,Matson,0,22,1995-01-01,3682 Crowley Point,4573,Australia,QLD,Programmer Analyst I,Retail,94,6,High Net Worth,3,0,0
Wheeler,Winward,0,18,1999-08-30,3 Golden Leaf Point,3216,Australia,VIC,Environmental Specialist,Manufacturing,48,8,Mass Customer,10,0,0
Olag,,0,27,1990-05-13,0484 North Avenue,2032,Australia,NSW,Human Resources Manager,Telecommunications,60,11,Mass Customer,9,0,0
Melba,Spellacy,1,41,1976-12-09,0591 Anzinger Circle,2232,Australia,NSW,VP Marketing,Health,38,10,Mass Customer,4,0,0
Mandie,Feares,1,53,1964-04-19,39 Kedzie Pass,4053,Australia,QLD,Clinical Specialist,Health,32,8,Mass Customer,10,0,0
Dukie,Swire,0,63,1954-03-31,64 Granby Parkway,2500,Australia,NSW,,Manufacturing,88,8,Affluent Customer,5,0,1
Marcelia,Monkleigh,1,24,1993-08-22,610 Swallow Street,4051,Australia,QLD,Associate Professor,Manufacturing,61,6,Mass Customer,4,0,1
